Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
HUM1017_S29_R1_001_kneaddata_paired_1	11.33570729	45	146.7214809	9.090909091	236350
HUM1017_S29_R1_001_kneaddata_paired_2	11.19929637	45	146.0749989	9.090909091	236350
HUM1019_S191_R1_001_kneaddata_paired_1	15.82501055	44	147.6407371	18.18181818	7109
HUM1019_S191_R1_001_kneaddata_paired_2	15.40301027	44	146.5303137	18.18181818	7109
HUMO546_S16_R1_001_kneaddata_paired_1	8.339951328	43	125.5515568	0	6223134
HUMO546_S16_R1_001_kneaddata_paired_2	8.340917044	43	124.6552149	0	6223134
HUMO581_S18_R1_001_kneaddata_paired_1	8.861908911	45	126.7392171	0	6868732
HUMO581_S18_R1_001_kneaddata_paired_2	9.058871736	45	126.5337396	9.090909091	6868732
HUMO587_S20_R1_001_kneaddata_paired_1	10.94231076	45	127.144354	0	7348219
HUMO587_S20_R1_001_kneaddata_paired_2	10.95488141	45	126.6394867	0	7348219
HUMO609_S56_R1_001_kneaddata_paired_1	11.74519895	43	123.8557331	0	9590557
HUMO609_S56_R1_001_kneaddata_paired_2	11.82527236	43	124.0889396	0	9590557
HUMO624_S22_R1_001_kneaddata_paired_1	13.78480449	47	127.0022992	0	8902084
HUMO624_S22_R1_001_kneaddata_paired_2	13.78919316	47	126.848349	9.090909091	8902084
HUMO668_S24_R1_001_kneaddata_paired_1	12.46498537	47	127.7119395	0	8440580
HUMO668_S24_R1_001_kneaddata_paired_2	12.62303889	47	127.7992726	9.090909091	8440580
HUMO678_S60_R1_001_kneaddata_paired_1	11.68347286	45	124.1677823	0	7937174
HUMO678_S60_R1_001_kneaddata_paired_2	11.82037991	45	123.7369117	0	7937174
HUMO681_S26_R1_001_kneaddata_paired_1	13.10566075	43	131.1081592	0	6641515
HUMO681_S26_R1_001_kneaddata_paired_2	13.29705832	43	130.7827985	0	6641515
HUMO749_S28_R1_001_kneaddata_paired_1	6.040602664	46	129.2067079	0	5840857
HUMO749_S28_R1_001_kneaddata_paired_2	6.10006838	46	128.82767	0	5840857
HUMO752_S30_R1_001_kneaddata_paired_1	9.753166415	46	130.5304156	0	7127547
HUMO752_S30_R1_001_kneaddata_paired_2	9.767491918	46	130.3352595	0	7127547
HUMO756_S58_R1_001_kneaddata_paired_1	8.448720933	43	127.7213027	0	7257827
HUMO756_S58_R1_001_kneaddata_paired_2	8.58238177	43	124.7647642	9.090909091	7257827
HUMO767_S32_R1_001_kneaddata_paired_1	9.651036626	44	131.3974604	0	6496629
HUMO767_S32_R1_001_kneaddata_paired_2	9.565175003	45	131.0321371	9.090909091	6496629
HUMO775_S34_R1_001_kneaddata_paired_1	7.631366839	45	129.1003257	0	8359788
HUMO775_S34_R1_001_kneaddata_paired_2	7.606224879	45	128.6515928	9.090909091	8359788
HUMO825_S36_R1_001_kneaddata_paired_1	10.15054345	44	131.9016874	0	7516205
HUMO825_S36_R1_001_kneaddata_paired_2	10.05696707	44	131.2099481	0	7516205
HUMO829_S38_R1_001_kneaddata_paired_1	9.230119393	42	132.5897844	0	6055901
HUMO829_S38_R1_001_kneaddata_paired_2	9.229887325	42	132.4676642	9.090909091	6055901
HUMO830_S62_R1_001_kneaddata_paired_1	7.906191123	45	128.8289284	0	7780566
HUMO830_S62_R1_001_kneaddata_paired_2	8.040550502	45	128.3800806	9.090909091	7780566
HUMO844_S40_R1_001_kneaddata_paired_1	16.23151386	44	130.8337637	0	6233231
HUMO844_S40_R1_001_kneaddata_paired_2	16.32904266	44	130.8424536	0	6233231
HUMO846_S54_R1_001_kneaddata_paired_1	9.654069898	45	124.5094859	0	9496192
HUMO846_S54_R1_001_kneaddata_paired_2	9.790626886	45	124.2534793	0	9496192
HUMO848_S42_R1_001_kneaddata_paired_1	12.35743576	44	132.9258359	9.090909091	5742251
HUMO848_S42_R1_001_kneaddata_paired_2	12.57643104	44	132.1765541	9.090909091	5742251
HUMO854_S44_R1_001_kneaddata_paired_1	16.53906897	47	123.2323432	9.090909091	9470018
HUMO854_S44_R1_001_kneaddata_paired_2	16.62164543	47	123.2882892	9.090909091	9470018
HUMO865_S46_R1_001_kneaddata_paired_1	8.837624641	47	128.0055946	0	7601635
HUMO865_S46_R1_001_kneaddata_paired_2	8.802893597	47	127.8115961	0	7601635
HUMO887_S48_R1_001_kneaddata_paired_1	14.98064388	45	130.4177374	0	8524136
HUMO887_S48_R1_001_kneaddata_paired_2	15.05957872	45	129.945625	0	8524136
HUMO899_S52_R1_001_kneaddata_paired_1	8.887613872	45	124.7361239	0	6277022
HUMO899_S52_R1_001_kneaddata_paired_2	8.739895493	45	123.7171009	0	6277022
HUMO902_S50_R1_001_kneaddata_paired_1	13.66291866	44	126.2956921	0	8077312
HUMO902_S50_R1_001_kneaddata_paired_2	13.87674818	44	126.3511084	0	8077312
